B_Age,B_Weight,B_Height,B_avg_td_att,B_avg_sig_str,B_fights,R_Age,R_Weight,R_Height,R_avg_td_att,R_avg_sig_str,R_fights,winner
50,70,85,1,17,2,58,70,87,47,11,7,red
69,58,82,0,0,1,63,58,85,0,0,1,blue
82,58,80,0,6,4,69,58,83,27,4,7,red
50,46,79,1,31,2,54,46,82,56,35,9,blue
65,50,78,9,22,4,60,50,79,28,27,7,red
82,58,84,25,12,3,65,58,84,53,22,6,red
65,58,85,21,23,5,65,58,87,21,23,5,red
58,58,83,19,5,5,65,58,84,10,0,2,blue
73,58,83,0,7,2,67,58,83,0,11,5,red
71,64,85,5,15,3,60,64,85,23,23,6,blue
78,54,82,25,6,5,50,54,80,5,2,2,red
58,58,83,1,29,5,58,58,83,0,0,1,blue
65,64,85,1,1,2,69,70,84,0,0,1,red
95,70,83,0,5,1,82,70,86,4,22,8,red
65,77,89,20,12,4,54,77,89,3,17,3,blue
65,90,89,0,3,3,69,98,85,13,3,4,blue
71,58,82,51,30,5,73,58,82,16,37,3,blue
76,50,80,11,2,3,67,50,79,14,10,5,red
78,50,78,30,19,7,65,50,79,2,8,6,red
71,70,85,0,0,1,89,70,87,0,21,4,no contest
65,54,79,0,31,1,67,54,80,24,15,7,blue
73,58,83,0,2,4,78,64,83,29,25,5,red
71,58,83,0,0,1,54,58,83,14,15,4,red
67,58,83,0,11,5,76,58,80,15,2,3,blue
80,70,84,0,4,3,69,70,89,2,16,6,red
100,70,84,7,10,7,84,70,85,0,11,5,red
80,46,76,13,20,6,82,50,78,67,24,8,red
52,54,83,12,28,4,58,54,85,5,10,3,blue
58,58,83,0,0,1,76,58,80,15,2,3,red
63,58,83,0,5,1,60,58,83,26,3,3,red
69,43,75,0,36,3,52,43,77,17,17,5,red
58,64,85,7,17,5,45,58,85,13,7,5,blue
69,50,75,5,54,4,56,50,75,11,47,8,red
67,64,84,0,13,2,63,64,84,62,13,7,red
71,43,72,2,8,2,58,43,72,29,30,5,red
60,58,82,3,20,8,67,54,78,23,20,4,blue
56,64,84,2,16,3,60,64,83,0,13,6,blue
60,50,79,2,9,2,54,43,75,37,28,7,red
60,50,80,10,15,6,73,50,78,5,4,3,red
67,58,85,19,18,3,65,58,87,21,23,5,blue
56,54,83,55,19,6,63,50,80,17,22,5,blue
63,77,89,18,11,3,80,77,86,0,9,4,red
76,50,80,11,2,3,58,50,78,6,3,5,blue
69,58,82,5,15,4,60,58,82,5,7,7,red
47,50,84,0,9,1,76,52,79,1,6,2,red
