,_Age,_Weight,_Height,_avg_td_att,_avg_sig_str,_fights
Nazareno Malegarie,65,58,80,0,0,1
Richie Vaculik,71,46,78,31,9,3
Jumabieke Tuerxun,65,50,79,17,5,3
Joanna Jedrzejczyk,63,43,78,0,50,7
Jose Aldo,65,54,79,4,21,4
Josh Shockley,58,58,86,0,6,2
Lukasz Sajewski,56,58,80,2,16,3
Derrick Lewis,69,98,89,16,9,10
Paul Felder,69,58,84,10,33,8
Cain Velasquez,73,90,86,7,2,2
Joanne Calderwood,67,43,78,17,36,5
CB Dollaway,71,77,87,11,15,5
Vagner Rocha,73,58,83,0,3,1
Tim Johnson,69,100,89,7,17,3
Brett Johns,54,50,79,0,0,1
Kevin Lee,52,58,82,70,31,9
Vaughan Lee,73,50,78,1,22,3
Shunichi Shimizu,69,50,77,0,0,1
Colby Covington,63,64,84,62,13,7
Erick Silva,69,64,85,13,18,7
Darren Stewart,56,77,83,2,13,2
Tarec Saffiedine,65,64,83,8,15,5
Teemu Packalen,63,58,86,21,6,3
Mike Perry,54,64,83,0,37,3
Zhang Lipeng,58,58,84,52,12,2
James Moontasri,60,64,83,0,13,6
Sean O'Connell,71,77,86,15,3,7
Pat Healy,71,58,85,20,0,2
Alex White,60,54,85,7,8,5
Ramsey Nijem,60,58,84,20,10,4
Luiz Dutra,73,64,84,0,0,1
Ernest Chavez,71,58,80,7,9,3
Gavin Tucker,65,54,79,0,31,1
David Teymur,60,58,82,2,7,3
Reginaldo Vieira,73,50,79,5,0,3
Francis Ngannou,65,94,90,0,9,4
Estevan Payan,76,54,83,0,0,1
Nick Hein,69,58,78,19,16,5
Khalil Rountree,58,77,86,0,0,2
Bojan Mihajlovic,78,88,84,1,1,2
John Moraga,71,46,78,17,23,7
Colton Smith,63,58,85,0,0,1
Juliana Lima,76,43,77,50,9,5
Davi Ramos,65,64,80,0,23,1
Mirsad Bektic,56,54,80,24,5,5
Antonio Dos Santos,60,70,83,0,0,1
Richard Walsh,60,64,85,23,23,6
Katsunori Kikuno,76,54,80,10,7,5
Chad Mendes,67,54,78,23,20,4
Lando Vannata,54,58,82,3,69,3
Dhiego Lima,60,64,87,7,1,3
Todd Duffee,67,98,89,0,1,2
Patrick Holohan,60,46,83,1,0,2
Brian Ortega,56,54,80,7,9,4
Heather Jo Clark,78,43,78,22,4,2
Kiichi Kunimoto,76,64,83,18,8,4
Antonio Braga Neto,63,70,89,0,9,1
Tatsuya Kawajiri,82,54,79,72,14,6
Desmond Green,58,58,83,0,37,1
